x1,x2,y
14.16,2.35,1
-3.83,-0.51,0
-1.74,-7.86,0
7.38,7.20,1
-5.17,-1.23,0
3.13,3.11,1
-5.92,-10.49,0
15.94,9.48,1
-3.12,-9.22,0
11.43,-4.44,1
-0.05,-4.04,0
4.63,6.95,1
4.13,5.42,1
4.24,-6.61,0
14.14,-6.83,1
-14.85,-2.24,0
11.43,1.90,1
12.33,1.21,1
4.59,4.69,1
4.03,0.40,1
1.64,-2.76,0
5.90,1.57,1
2.83,6.11,1
-2.02,-3.45,0
7.11,8.73,1
7.76,3.95,1
5.94,3.97,1
7.00,4.18,1
-8.12,-12.72,0
-3.11,-4.88,0
6.72,5.81,1
-8.97,-4.16,0
6.42,0.60,1
-8.41,-5.61,0
-4.09,-2.59,0
-0.63,-2.20,1
-0.02,-12.95,0
-1.45,-12.04,0
-10.99,4.08,0
14.14,2.09,1
1.37,3.49,1
-11.21,-12.60,0
-6.72,-2.12,0
9.90,2.87,1
1.43,-10.15,0
-4.91,-8.80,0
-0.15,-6.41,0
-1.50,-5.15,0
-3.31,-6.48,0
4.82,-2.20,1
4.88,4.83,1
-4.89,-0.84,0
-2.56,-1.44,0
-5.38,-3.27,0
5.31,1.29,1
2.40,-8.01,0
-3.84,1.85,0
-8.64,0.75,0
6.58,6.45,1
-6.61,-7.82,0
-2.16,-5.64,0
7.00,1.84,1
3.56,-7.63,0
4.14,-3.39,1
1.21,-5.49,0
9.53,0.58,1
-8.63,-3.64,0
10.51,0.32,1
12.28,8.25,1
6.30,9.16,1
-8.06,-7.50,0
-8.03,-9.91,0
6.51,6.24,1
-6.99,-12.41,0
-7.52,-1.73,0
-3.81,-6.57,0
-8.33,0.31,0
-3.07,-0.45,0
6.49,4.80,1
-2.00,-0.73,0
5.91,3.55,1
4.41,-5.24,1
4.69,-2.42,1
-0.44,-0.16,1
4.42,3.53,1
1.96,-2.66,0
7.35,-1.35,1
-6.70,-1.99,0
-2.80,-2.71,0
-4.58,-6.58,0
-3.40,-3.48,0
-1.53,-0.63,0
-5.97,-2.88,0
4.52,-3.56,0
-2.74,-3.33,0
-8.16,-0.73,0
2.88,-1.97,1
-0.15,-5.59,0
7.59,3.10,1
5.66,2.11,1
6.66,1.61,1
-6.10,-8.85,0
8.85,4.87,1
-0.23,-2.25,0
5.42,6.79,1
3.95,-1.02,0
-1.68,6.95,1
9.08,1.09,1
-6.78,-6.66,0
-2.70,-2.01,0
8.34,0.42,1
1.72,0.18,1
7.00,8.32,1
7.93,8.65,1
5.25,8.99,1
8.60,8.71,1
6.35,3.75,1
11.18,-7.69,1
4.05,7.97,1
-6.92,3.60,0
9.77,1.08,1
1.00,-4.85,1
-3.50,-3.90,0
-5.00,-6.54,0
9.92,8.11,1
10.27,2.32,1
12.08,2.77,1
-8.65,-3.61,0
6.10,-3.14,0
12.19,1.87,1
11.21,-0.54,1
2.47,-2.72,1
5.38,-2.78,1
5.18,1.96,1
10.55,0.84,1
3.82,9.14,1
-6.08,-14.13,0
-2.09,-2.07,0
0.05,0.24,1
-3.57,-3.27,0
0.50,-6.19,0
-5.03,0.37,0
-9.77,-6.21,0
-2.97,-5.53,0
-5.04,-12.17,0
2.59,-4.90,0
6.53,0.61,1
5.29,3.97,1
1.32,0.07,1
3.03,7.38,1
-5.93,1.51,0
-0.79,-12.55,0
-4.89,-3.07,0
-2.02,-8.23,0
-1.91,0.51,0
1.28,-8.06,0
-2.17,-0.35,0
-5.11,-0.12,0
-0.39,-3.54,0
-2.81,-11.67,0
5.85,5.42,1
5.46,10.15,1
-3.51,-7.83,0
3.84,8.11,1
-4.96,-4.69,0
1.93,9.17,1
15.33,4.70,1
7.52,8.67,1
-2.23,-8.06,0
-6.72,-10.20,0
-6.04,-4.30,0
1.96,-7.93,0
7.78,-5.09,1
5.82,3.20,1
0.76,5.85,1
-6.11,-9.28,0
3.83,10.35,1
-8.57,-4.99,0
8.56,5.87,1
6.15,0.12,1
4.00,1.99,1
3.48,-0.73,1
-11.02,-5.98,0
6.14,5.43,1
-3.27,-2.94,0
2.18,3.36,1
0.49,3.84,1
2.08,1.81,1
17.31,0.60,1
2.98,8.29,1
2.05,5.49,1
2.29,0.69,0
-3.56,0.85,0
8.20,-1.62,1
-5.60,-3.07,0
6.52,3.71,1
-7.34,-3.16,0
-6.43,-7.56,0
-8.50,-7.98,0
1.36,-0.27,1
7.82,-3.16,1
4.59,-1.90,1
7.24,-5.03,1
-5.51,-6.32,0
0.34,-4.44,0
2.02,-2.24,0
-7.31,-4.34,0
-0.46,8.11,1
-1.79,-1.83,0
-11.32,-6.57,0
2.50,4.13,1
2.92,8.44,1
0.69,0.32,1
10.97,-0.40,1
-1.04,-12.37,0
3.66,3.09,1
-2.28,-6.20,0
3.73,-1.49,1
-1.29,-7.59,0
5.97,-1.52,1
-1.93,0.49,0
3.40,-2.34,1
8.66,4.40,1
-2.75,13.66,1
1.60,-13.26,0
14.95,4.36,1
3.86,-1.50,1
13.71,2.04,1
2.72,4.63,1
6.24,-0.43,1
4.38,-1.27,1
9.06,9.67,1
3.83,5.15,1
4.14,-11.07,0
-4.44,-6.76,0
-6.64,-9.32,0
-4.65,1.24,0
4.55,0.21,1
5.57,8.57,1
-4.79,-5.34,0
2.97,-4.13,1
5.99,-2.15,1
-4.93,-3.56,0
-8.14,-12.20,0
-0.14,-6.42,0
-4.79,-3.73,0
0.68,-3.48,0
-4.16,-3.25,0
10.64,2.00,1
-8.16,-7.55,0
5.96,5.37,1
11.09,-3.39,1
7.46,-4.72,1
-0.42,2.09,0
-1.40,1.66,0
9.24,-0.16,1
-2.97,-11.87,0
2.60,-10.34,0
-1.24,-7.76,0
-2.84,-7.49,0
10.89,9.67,1
1.16,-5.77,1
1.94,-5.81,0
10.42,-0.43,1
-2.81,-3.98,0
3.73,-4.75,1
6.19,-2.02,1
10.06,3.45,1
-1.59,-3.61,0
-0.19,6.68,1
7.74,5.71,1
4.56,3.95,1
-3.00,0.04,0
5.94,1.09,1
-7.53,-2.33,0
4.57,5.36,1
5.10,1.44,1
0.20,-6.57,0
1.37,8.58,1
-1.90,-12.73,0
-4.96,-9.93,0
-1.05,4.67,1
0.52,6.56,1
-1.27,-5.65,0
-0.93,0.78,1
-2.12,3.12,1
-3.87,-2.52,0
3.61,5.72,1
-1.07,-8.50,0
-1.38,-2.40,0
13.24,1.52,1
-5.94,-6.61,0
7.74,-6.51,1
2.35,2.45,1
-1.94,-4.15,0
-6.16,-5.45,0
6.09,-0.46,1
1.99,-10.66,0
-4.25,-5.11,0
4.65,1.91,1
2.85,5.48,1
-1.24,-10.13,0
0.93,-12.92,0
7.44,-4.40,1
4.18,2.07,1
-1.03,1.92,1
-9.23,-5.69,0
-8.26,-5.02,0
5.56,-0.05,1
11.94,5.48,1
3.57,0.19,1
-4.58,-1.32,0
2.34,5.58,1
0.71,-14.05,0
-0.77,-6.71,0
-8.67,-3.51,0
8.42,-2.26,1
-0.81,-11.36,0
0.15,-12.24,0
1.08,2.51,1
3.28,4.80,1
-0.77,-3.27,1
4.47,0.62,1
-4.60,-4.60,0
-0.24,1.90,1
-2.33,-5.57,0
-7.92,-7.43,0
2.76,-5.48,0
10.90,7.48,1
-4.81,-2.50,0
-9.87,0.80,0
14.55,3.38,1
-3.02,-5.36,0
-5.06,-10.03,0
2.62,10.62,1
6.75,1.53,1
6.57,4.42,1
-5.56,-3.18,0
-3.70,-7.45,0
8.03,3.40,1
-3.10,-2.89,0
-3.57,-11.72,0
2.87,-0.17,1
5.93,2.04,1
-9.25,-2.29,0
5.21,10.32,1
-5.71,-2.44,0
-0.46,2.13,0
-1.83,-6.59,0
4.24,-0.65,1
5.84,2.89,1
-4.12,-3.02,0
5.04,6.66,1
-8.33,3.65,0
6.01,5.23,1
6.95,-0.67,1
4.10,2.33,1
-3.21,-9.92,0
-9.60,-9.94,0
-0.52,-0.78,0
7.93,8.80,1
-9.67,-5.47,0
3.25,-1.47,1
10.65,5.04,1
-5.51,2.58,1
-1.96,-1.92,0
-7.86,0.78,0
-1.39,-8.28,0
-2.48,-9.59,0
10.16,3.82,1
2.95,3.52,1
5.94,6.22,1
-2.61,-3.42,0
-10.44,-0.81,0
-3.32,1.46,0
9.07,0.55,1
4.19,3.70,1
1.46,0.04,1
7.85,3.80,1
0.84,-5.74,0
-0.22,1.19,1
9.63,9.58,1
9.67,2.25,1
4.58,11.08,1
-8.67,-3.77,0
8.11,5.11,1
-0.07,-0.68,0
-1.64,-2.83,0
3.16,0.57,1
-10.26,-12.83,0
-6.24,-3.93,0
-9.27,-7.59,0
9.04,-4.97,1
-2.17,-9.35,0
-6.71,-6.63,0
3.85,7.37,1
1.86,6.00,1
9.99,6.05,1
-0.42,-4.97,0
-8.11,-8.39,0
-4.51,0.34,0
-4.18,-3.82,0
-6.86,-5.77,0
9.11,-0.19,1
-1.96,0.63,0
14.16,-5.06,1
-2.73,-11.75,0
6.44,3.08,1
1.01,-2.94,0
-0.31,-0.05,0
-0.63,-6.24,1
-7.52,-4.67,0
-2.70,-2.01,0
6.00,1.02,1
-5.10,-4.24,0
11.22,2.00,1
5.33,-0.79,0
-2.94,0.57,0
1.86,-2.52,0
-7.77,-4.05,0
4.95,4.44,1
-10.64,-5.98,0
8.72,-1.71,1
-0.91,-9.54,0
-2.29,-2.71,1
-7.20,-15.09,0
-4.73,-2.52,0
5.78,7.52,1
8.60,2.52,1
5.55,4.51,1
2.44,-4.08,0
0.75,-8.00,0
12.48,5.19,1
-4.74,3.36,0
1.39,2.07,1
5.83,2.80,1
-6.47,-0.05,0
6.04,5.53,1
-0.94,-12.89,0
1.00,-10.54,0
-12.01,-0.84,0
4.10,6.69,1
6.33,9.37,1
-10.23,-0.92,0
6.39,-3.54,1
-0.75,-0.03,1
-1.03,-5.81,0
1.11,4.33,1
-3.33,-5.00,0
3.58,1.97,1
5.41,4.52,1
